brand,start_day,start_time,end_day,end_time,trip_time,price,crawl_date,days_left,id
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2018855,07-04-2025,19,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2024825,08-04-2025,18,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1853685,09-04-2025,17,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1850700,10-04-2025,16,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1997871,11-04-2025,15,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1829945,12-04-2025,14,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1841745,13-04-2025,13,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1808468,14-04-2025,12,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1985025,15-04-2025,11,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1865325,16-04-2025,10,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2033903,17-04-2025,9,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,1963080,18-04-2025,8,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2207468,19-04-2025,7,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2207468,20-04-2025,6,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2032905,21-04-2025,5,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2030910,22-04-2025,4,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2214450,23-04-2025,3,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2212455,24-04-2025,2,HAN0152
VietJet Air,26-04-2025,05:00:00,26-04-2025,07:10:00,2.17,2254350,25-04-2025,1,HAN0152
VietJet Air,26-04-2025,06:00:00,26-04-2025,08:10:00,2.17,1857665,07-04-2025,19,HAN0173
VietJet Air,26-04-2025,06:00:00,26-04-2025,08:10:00,2.17,2024825,08-04-2025,18,HAN0173
VietJet Air,26-04-2025,06:00:00,26-04-2025,08:10:00,2.17,1853685,09-04-2025,17,HAN0173
VietJet Air,26-04-2025,06:00:00,26-04-2025,08:10:00,2.17,1850700,10-04-2025,16,HAN0173
VietJet Air,26-04-2025,06:00:00,26-04-2025,08:10:00,2.17,1845407,11-04-2025,15,HAN0173
