brand,id,price,start_time,start_day,end_day,end_time,trip_time,destination,hand_luggage,checked_baggage,crawl_date
VietJet Air,PQC0043,1.794.000 VND/khách,09:20,03 thg 5,03 thg 5,10:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0067,1.794.000 VND/khách,11:35,03 thg 5,03 thg 5,12:35,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0252,1.886.112 VND/khách,13:05,03 thg 5,03 thg 5,14:00,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0227,1.920.078 VND/khách,10:25,03 thg 5,03 thg 5,11:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Bamboo Airways,PQC0004,1.013.756 VND/khách,16:30,04 thg 5,04 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0019,1.037.000 VND/khách,05:55,04 thg 5,04 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0111,1.146.000 VND/khách,15:40,04 thg 5,04 thg 5,16:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0134,1.146.000 VND/khách,17:10,04 thg 5,04 thg 5,18:15,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0184,1.236.762 VND/khách,05:40,04 thg 5,04 thg 5,06:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0205,1.274.724 VND/khách,08:10,04 thg 5,04 thg 5,08:55,45m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0294,1.274.724 VND/khách,17:25,04 thg 5,04 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0320,1.274.724 VND/khách,21:00,04 thg 5,04 thg 5,22:00,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
VietJet Air,PQC0044,1.283.000 VND/khách,09:20,04 thg 5,04 thg 5,10:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0068,1.283.000 VND/khách,11:35,04 thg 5,04 thg 5,12:35,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0090,1.283.000 VND/khách,14:05,04 thg 5,04 thg 5,15:05,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0271,1.389.609 VND/khách,15:05,04 thg 5,04 thg 5,16:10,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0253,1.703.295 VND/khách,13:05,04 thg 5,04 thg 5,14:00,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietnam Airlines,PQC0228,1.703.295 VND/khách,10:25,04 thg 5,04 thg 5,11:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
Vietravel Airlines,PQC0325,1.905.225 VND/khách,17:25,04 thg 5,04 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Bamboo Airways,PQC0005,782.244 VND/khách,16:30,05 thg 5,05 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietravel Airlines,PQC0326,767.292 VND/khách,17:25,05 thg 5,05 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0135,817.000 VND/khách,17:10,05 thg 5,05 thg 5,18:15,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0170,1.027.746 VND/khách,05:25,05 thg 5,05 thg 5,06:20,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,2025-05-01
VietJet Air,PQC0020,1.037.000 VND/khách,05:55,05 thg 5,05 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01
Vietnam Airlines,PQC0185,1.125.873 VND/khách,05:40,05 thg 5,05 thg 5,06:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01
