,id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,hand_luggage,checked_baggage,crawl_date
26,DAD0563,Vietnam Airlines,2.546.141 VND/khách,13:20,02 thg 5,14:50,02 thg 5,1h 30m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
27,DAD0003,Bamboo Airways,1.190.194 VND/khách,06:30,03 thg 5,07:55,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
28,DAD0360,VietJet Air,1.280.790 VND/khách,22:45,03 thg 5,00:05,04 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
29,DAD0338,VietJet Air,1.280.790 VND/khách,21:25,03 thg 5,22:50,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
30,DAD0230,VietJet Air,1.401.899 VND/khách,16:15,03 thg 5,17:35,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
31,DAD0015,Bamboo Airways,1.443.123 VND/khách,09:05,03 thg 5,10:30,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
32,DAD0179,VietJet Air,1.446.267 VND/khách,13:35,03 thg 5,14:50,03 thg 5,1h 15m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
33,DAD0039,VietJet Air,1.446.267 VND/khách,05:00,03 thg 5,06:20,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
34,DAD0059,VietJet Air,1.446.267 VND/khách,05:30,03 thg 5,06:50,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
35,DAD0072,VietJet Air,1.446.267 VND/khách,06:50,03 thg 5,08:10,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
36,DAD0289,VietJet Air,1.446.267 VND/khách,19:15,03 thg 5,20:35,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
37,DAD0311,VietJet Air,1.446.267 VND/khách,20:10,03 thg 5,21:30,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
38,DAD0325,VietJet Air,1.446.267 VND/khách,21:15,03 thg 5,22:35,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
39,DAD0201,VietJet Air,1.446.267 VND/khách,14:10,03 thg 5,15:35,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
40,DAD0143,VietJet Air,1.566.161 VND/khách,12:30,03 thg 5,13:50,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
41,DAD0113,VietJet Air,1.566.161 VND/khách,10:25,03 thg 5,11:50,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
42,DAD0091,VietJet Air,1.739.997 VND/khách,09:35,03 thg 5,10:55,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
43,DAD0251,VietJet Air,1.739.997 VND/khách,17:35,03 thg 5,18:55,03 thg 5,1h 20m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
44,DAD0375,Vietnam Airlines,1.815.997 VND/khách,05:45,03 thg 5,07:10,03 thg 5,1h 25m,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
