brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
Bamboo Airways,1.088.986 VND/khách,16:45,08 thg 5,17:40,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,22-04-2025
Vietnam Airlines,1.094.904 VND/khách,08:55,08 thg 5,09:50,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,22-04-2025
Vietnam Airlines,1.161.837 VND/khách,17:25,08 thg 5,18:20,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,22-04-2025
Vietnam Airlines,1.280.718 VND/khách,10:15,08 thg 5,11:10,08 thg 5,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,22-04-2025
