brand,start_day,start_time,end_day,end_time,trip_time,price,crawl_date,days_left,id
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2498445,12-04-2025,20,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2487870,13-04-2025,19,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2810180,14-04-2025,18,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2732627,15-04-2025,17,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2811908,16-04-2025,16,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3050400,17-04-2025,15,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3050181,18-04-2025,14,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3051222,19-04-2025,13,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3051438,20-04-2025,12,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3051043,21-04-2025,11,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,1760588,22-04-2025,10,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,1975050,23-04-2025,9,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,1982033,24-04-2025,8,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2161583,25-04-2025,7,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2535645,26-04-2025,6,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2813022,27-04-2025,5,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2750108,28-04-2025,4,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,3051246,29-04-2025,3,HAN1282
Vietravel Airlines,02-05-2025,05:45:00,02-05-2025,07:55:00,2.17,2964570,30-04-2025,2,HAN1282
