brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
Vietnam Airlines,1.869.129 VND/khách,05:45,30 thg 4,06:40,30 thg 4,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,19-04-2025
Bamboo Airways,1.564.488 VND/khách,16:45,30 thg 4,17:40,30 thg 4,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
VietJet Air,1.609.965 VND/khách,15:35,30 thg 4,16:30,30 thg 4,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
Vietnam Airlines,1.887.111 VND/khách,21:10,30 thg 4,22:10,30 thg 4,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,19-04-2025
VietJet Air,1.903.230 VND/khách,09:55,30 thg 4,10:50,30 thg 4,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 7 kg,Hành lý 0 kg,19-04-2025
Vietnam Airlines,2.014.983 VND/khách,08:55,30 thg 4,09:50,30 thg 4,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,19-04-2025
