,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
21,Vietnam Airlines,2107224,17:00,2025-05-02,2025-05-02,18:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0657
22,Vietnam Airlines,2107224,18:40,2025-05-02,2025-05-02,20:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0669
23,Vietnam Airlines,2265316,16:00,2025-05-02,2025-05-02,17:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0613
24,Vietnam Airlines,2410929,09:10,2025-05-02,2025-05-02,10:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0461
25,Vietnam Airlines,2546141,11:00,2025-05-02,2025-05-02,12:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0501
26,Vietnam Airlines,2546141,13:20,2025-05-02,2025-05-02,14:50,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=02-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0563
33,Bamboo Airways,1190194,06:30,2025-05-03,2025-05-03,07:55,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0003
34,VietJet Air,1280790,22:45,2025-05-03,2025-05-04,00:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0360
35,VietJet Air,1280790,21:25,2025-05-03,2025-05-03,22:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0338
36,VietJet Air,1401899,16:15,2025-05-03,2025-05-03,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0230
37,Bamboo Airways,1443123,09:05,2025-05-03,2025-05-03,10:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0015
38,VietJet Air,1446267,13:35,2025-05-03,2025-05-03,14:50,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0179
39,VietJet Air,1446267,05:00,2025-05-03,2025-05-03,06:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0039
40,VietJet Air,1446267,05:30,2025-05-03,2025-05-03,06:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0059
41,VietJet Air,1446267,06:50,2025-05-03,2025-05-03,08:10,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0072
42,VietJet Air,1446267,19:15,2025-05-03,2025-05-03,20:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0289
43,VietJet Air,1446267,20:10,2025-05-03,2025-05-03,21:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0311
44,VietJet Air,1446267,21:15,2025-05-03,2025-05-03,22:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0325
45,VietJet Air,1446267,14:10,2025-05-03,2025-05-03,15:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0201
46,VietJet Air,1566161,12:30,2025-05-03,2025-05-03,13:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0143
47,VietJet Air,1566161,10:25,2025-05-03,2025-05-03,11:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0113
48,VietJet Air,1739997,09:35,2025-05-03,2025-05-03,10:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0091
49,VietJet Air,1739997,17:35,2025-05-03,2025-05-03,18:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0251
50,Vietnam Airlines,1815997,05:45,2025-05-03,2025-05-03,07:10,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0375
51,Vietnam Airlines,1950169,16:40,2025-05-03,2025-05-03,18:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0637
52,Vietnam Airlines,1950169,18:40,2025-05-03,2025-05-03,20:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0670
53,Vietnam Airlines,1950169,19:15,2025-05-03,2025-05-03,20:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0692
54,Vietnam Airlines,1950169,21:15,2025-05-03,2025-05-03,22:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0752
55,Vietnam Airlines,2060645,10:00,2025-05-03,2025-05-03,11:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0476
56,Vietnam Airlines,2107224,12:20,2025-05-03,2025-05-03,13:45,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0552
57,Vietnam Airlines,2107224,15:10,2025-05-03,2025-05-03,16:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0587
58,Vietnam Airlines,2107224,20:45,2025-05-03,2025-05-03,22:10,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0725
59,Vietnam Airlines,2107224,06:55,2025-05-03,2025-05-03,08:25,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0393
60,Vietnam Airlines,2107224,13:20,2025-05-03,2025-05-03,14:50,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0564
61,Vietnam Airlines,2410929,09:05,2025-05-03,2025-05-03,10:25,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0437
