,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
20,VietJet Air,1284000,17:10,2025-05-03,2025-05-03,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0133
21,Vietnam Airlines,1390608,17:25,2025-05-03,2025-05-03,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0293
22,Vietnam Airlines,1411137,12:20,2025-05-03,2025-05-03,13:25,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0247
23,Vietnam Airlines,1479519,05:40,2025-05-03,2025-05-03,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0183
24,Vietnam Airlines,1501497,20:20,2025-05-03,2025-05-03,21:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0306
25,Vietnam Airlines,1501497,15:05,2025-05-03,2025-05-03,16:10,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0270
26,Vietnam Airlines,1535463,08:10,2025-05-03,2025-05-03,08:55,45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0204
27,VietJet Air,1567000,14:05,2025-05-03,2025-05-03,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0089
28,VietJet Air,1567000,15:40,2025-05-03,2025-05-03,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0110
29,VietJet Air,1794000,09:20,2025-05-03,2025-05-03,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0043
30,VietJet Air,1794000,11:35,2025-05-03,2025-05-03,12:35,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0067
31,Vietnam Airlines,1886112,13:05,2025-05-03,2025-05-03,14:00,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0252
32,Vietnam Airlines,1920078,10:25,2025-05-03,2025-05-03,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0227
34,Bamboo Airways,1013756,16:30,2025-05-04,2025-05-04,17:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0004
35,VietJet Air,1037000,05:55,2025-05-04,2025-05-04,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0019
