brand,start_day,start_time,end_day,end_time,trip_time,price,crawl_date,days_left,id
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,01-05-2025,3,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,02-05-2025,2,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,03-05-2025,1,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3801895,14-04-2025,20,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3801895,15-04-2025,19,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3826325,16-04-2025,18,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3826325,17-04-2025,17,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3826325,18-04-2025,16,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3807193,19-04-2025,15,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3807193,20-04-2025,14,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,21-04-2025,13,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3079584,22-04-2025,12,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3416051,23-04-2025,11,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3416051,24-04-2025,10,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3807193,25-04-2025,9,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3807193,26-04-2025,8,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3458396,27-04-2025,7,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,28-04-2025,6,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,29-04-2025,5,HAN0002
Bamboo Airways,04-05-2025,05:25:00,04-05-2025,07:35:00,2.17,3117758,30-04-2025,4,HAN0002
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3807193,01-05-2025,3,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3458396,02-05-2025,2,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3458396,03-05-2025,1,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3458396,14-04-2025,20,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3458396,15-04-2025,19,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3826325,16-04-2025,18,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3475775,17-04-2025,17,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3475775,18-04-2025,16,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3714668,19-04-2025,15,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3458396,20-04-2025,14,HAN0020
Bamboo Airways,04-05-2025,08:30:00,04-05-2025,10:40:00,2.17,3807193,21-04-2025,13,HAN0020
