,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
39,DAD0039,VietJet Air,1.446.267 VND/khách,05:00,2025-05-03,06:20,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
40,DAD0059,VietJet Air,1.446.267 VND/khách,05:30,2025-05-03,06:50,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
41,DAD0072,VietJet Air,1.446.267 VND/khách,06:50,2025-05-03,08:10,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
42,DAD0289,VietJet Air,1.446.267 VND/khách,19:15,2025-05-03,20:35,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
43,DAD0311,VietJet Air,1.446.267 VND/khách,20:10,2025-05-03,21:30,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
44,DAD0325,VietJet Air,1.446.267 VND/khách,21:15,2025-05-03,22:35,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
45,DAD0201,VietJet Air,1.446.267 VND/khách,14:10,2025-05-03,15:35,2025-05-03,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
46,DAD0143,VietJet Air,1.566.161 VND/khách,12:30,2025-05-03,13:50,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
47,DAD0113,VietJet Air,1.566.161 VND/khách,10:25,2025-05-03,11:50,2025-05-03,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
48,DAD0091,VietJet Air,1.739.997 VND/khách,09:35,2025-05-03,10:55,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
49,DAD0251,VietJet Air,1.739.997 VND/khách,17:35,2025-05-03,18:55,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
50,DAD0375,Vietnam Airlines,1.815.997 VND/khách,05:45,2025-05-03,07:10,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
51,DAD0637,Vietnam Airlines,1.950.169 VND/khách,16:40,2025-05-03,18:05,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
52,DAD0670,Vietnam Airlines,1.950.169 VND/khách,18:40,2025-05-03,20:05,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
53,DAD0692,Vietnam Airlines,1.950.169 VND/khách,19:15,2025-05-03,20:40,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
54,DAD0752,Vietnam Airlines,1.950.169 VND/khách,21:15,2025-05-03,22:40,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
55,DAD0476,Vietnam Airlines,2.060.645 VND/khách,10:00,2025-05-03,11:25,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
56,DAD0552,Vietnam Airlines,2.107.224 VND/khách,12:20,2025-05-03,13:45,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
57,DAD0587,Vietnam Airlines,2.107.224 VND/khách,15:10,2025-05-03,16:35,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
58,DAD0725,Vietnam Airlines,2.107.224 VND/khách,20:45,2025-05-03,22:10,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
59,DAD0393,Vietnam Airlines,2.107.224 VND/khách,06:55,2025-05-03,08:25,2025-05-03,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
60,DAD0564,Vietnam Airlines,2.107.224 VND/khách,13:20,2025-05-03,14:50,2025-05-03,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
61,DAD0437,Vietnam Airlines,2.410.929 VND/khách,09:05,2025-05-03,10:25,2025-05-03,1h 20m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
62,DAD0414,Vietnam Airlines,2.410.929 VND/khách,08:00,2025-05-03,09:25,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
63,DAD0502,Vietnam Airlines,2.410.929 VND/khách,11:00,2025-05-03,12:25,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
64,DAD0763,Vietravel Airlines,2.511.705 VND/khách,21:05,2025-05-03,22:25,2025-05-03,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
65,DAD0614,Vietnam Airlines,2.599.186 VND/khách,16:00,2025-05-03,17:25,2025-05-03,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
75,DAD0016,Bamboo Airways,1.608.343 VND/khách,09:05,2025-05-04,10:30,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
76,DAD0361,VietJet Air,1.280.790 VND/khách,22:45,2025-05-04,00:05,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
77,DAD0339,VietJet Air,1.395.503 VND/khách,21:25,2025-05-04,22:50,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
78,DAD0180,VietJet Air,1.446.267 VND/khách,13:35,2025-05-04,14:50,2025-05-04,1h 15m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
79,DAD0040,VietJet Air,1.446.267 VND/khách,05:00,2025-05-04,06:20,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
80,DAD0073,VietJet Air,1.446.267 VND/khách,06:50,2025-05-04,08:10,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
81,DAD0164,VietJet Air,1.446.267 VND/khách,13:00,2025-05-04,14:20,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
82,DAD0231,VietJet Air,1.446.267 VND/khách,16:15,2025-05-04,17:35,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
83,DAD0252,VietJet Air,1.446.267 VND/khách,17:35,2025-05-04,18:55,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
84,DAD0267,VietJet Air,1.446.267 VND/khách,17:55,2025-05-04,19:15,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
85,DAD0290,VietJet Air,1.446.267 VND/khách,19:15,2025-05-04,20:35,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
86,DAD0326,VietJet Air,1.446.267 VND/khách,21:15,2025-05-04,22:35,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
87,DAD0202,VietJet Air,1.446.267 VND/khách,14:10,2025-05-04,15:35,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
88,DAD0144,VietJet Air,1.566.161 VND/khách,12:30,2025-05-04,13:50,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
89,DAD0016,Bamboo Airways,1.608.343 VND/khách,09:05,2025-05-04,10:30,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
90,DAD0092,VietJet Air,1.739.997 VND/khách,09:35,2025-05-04,10:55,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
91,DAD0114,VietJet Air,1.739.997 VND/khách,10:25,2025-05-04,11:50,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
92,DAD0638,Vietnam Airlines,1.950.169 VND/khách,16:40,2025-05-04,18:05,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
93,DAD0713,Vietnam Airlines,1.950.169 VND/khách,19:35,2025-05-04,21:00,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
94,DAD0753,Vietnam Airlines,1.950.169 VND/khách,21:15,2025-05-04,22:40,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
95,DAD0756,Vietnam Airlines,1.950.169 VND/khách,22:00,2025-05-04,23:25,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
96,DAD0714,Vietnam Airlines,1.950.169 VND/khách,19:35,2025-05-04,21:05,2025-05-04,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
97,DAD0004,Bamboo Airways,2.104.002 VND/khách,06:30,2025-05-04,07:55,2025-05-04,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
98,DAD0534,Vietnam Airlines,2.107.224 VND/khách,12:15,2025-05-04,13:40,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
99,DAD0609,Vietnam Airlines,2.107.224 VND/khách,15:40,2025-05-04,17:05,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
100,DAD0394,Vietnam Airlines,2.107.224 VND/khách,06:55,2025-05-04,08:25,2025-05-04,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
101,DAD0580,Vietnam Airlines,2.265.316 VND/khách,13:25,2025-05-04,14:50,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
102,DAD0615,Vietnam Airlines,2.265.316 VND/khách,16:00,2025-05-04,17:25,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
103,DAD0671,Vietnam Airlines,2.265.316 VND/khách,18:40,2025-05-04,20:05,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
104,DAD0376,Vietnam Airlines,2.410.929 VND/khách,05:45,2025-05-04,07:10,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
