,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
36,PQC0111,VietJet Air,1.146.000 VND/khách,15:40,2025-05-04,16:40,2025-05-04,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
37,PQC0134,VietJet Air,1.146.000 VND/khách,17:10,2025-05-04,18:15,2025-05-04,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
38,PQC0184,Vietnam Airlines,1.236.762 VND/khách,05:40,2025-05-04,06:40,2025-05-04,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
39,PQC0205,Vietnam Airlines,1.274.724 VND/khách,08:10,2025-05-04,08:55,2025-05-04,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
40,PQC0294,Vietnam Airlines,1.274.724 VND/khách,17:25,2025-05-04,18:25,2025-05-04,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
41,PQC0320,Vietnam Airlines,1.274.724 VND/khách,21:00,2025-05-04,22:00,2025-05-04,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
42,PQC0044,VietJet Air,1.283.000 VND/khách,09:20,2025-05-04,10:20,2025-05-04,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
43,PQC0068,VietJet Air,1.283.000 VND/khách,11:35,2025-05-04,12:35,2025-05-04,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
44,PQC0090,VietJet Air,1.283.000 VND/khách,14:05,2025-05-04,15:05,2025-05-04,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
45,PQC0271,Vietnam Airlines,1.389.609 VND/khách,15:05,2025-05-04,16:10,2025-05-04,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
46,PQC0253,Vietnam Airlines,1.703.295 VND/khách,13:05,2025-05-04,14:00,2025-05-04,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
47,PQC0228,Vietnam Airlines,1.703.295 VND/khách,10:25,2025-05-04,11:25,2025-05-04,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
48,PQC0325,Vietravel Airlines,1.905.225 VND/khách,17:25,2025-05-04,18:25,2025-05-04,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
50,PQC0005,Bamboo Airways,782.244 VND/khách,16:30,2025-05-05,17:30,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
51,PQC0326,Vietravel Airlines,767.292 VND/khách,17:25,2025-05-05,18:25,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
52,PQC0135,VietJet Air,817.000 VND/khách,17:10,2025-05-05,18:15,2025-05-05,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
53,PQC0170,Vietnam Airlines,1.027.746 VND/khách,05:25,2025-05-05,06:20,2025-05-05,55m,Hành lý xách tay 1 x 12 kg,Hành lý 0 kg,2025-05-01,PQC
54,PQC0020,VietJet Air,1.037.000 VND/khách,05:55,2025-05-05,06:55,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
55,PQC0185,Vietnam Airlines,1.125.873 VND/khách,05:40,2025-05-05,06:40,2025-05-05,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
56,PQC0091,VietJet Air,1.146.000 VND/khách,14:05,2025-05-05,15:05,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
57,PQC0112,VietJet Air,1.146.000 VND/khách,15:40,2025-05-05,16:40,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
58,PQC0308,Vietnam Airlines,1.162.836 VND/khách,20:20,2025-05-05,21:20,2025-05-05,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
59,PQC0272,Vietnam Airlines,1.274.724 VND/khách,15:05,2025-05-05,16:10,2025-05-05,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
60,PQC0045,VietJet Air,1.284.000 VND/khách,09:20,2025-05-05,10:20,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
61,PQC0069,VietJet Air,1.284.000 VND/khách,11:35,2025-05-05,12:35,2025-05-05,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
62,PQC0254,Vietnam Airlines,1.389.609 VND/khách,13:05,2025-05-05,14:00,2025-05-05,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
63,PQC0229,Vietnam Airlines,1.535.463 VND/khách,10:25,2025-05-05,11:25,2025-05-05,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
64,PQC0206,Vietnam Airlines,1.774.224 VND/khách,08:10,2025-05-05,08:55,2025-05-05,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
67,PQC0327,Vietravel Airlines,903.059 VND/khách,17:25,2025-05-06,18:25,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
68,PQC0021,VietJet Air,1.037.000 VND/khách,05:55,2025-05-06,06:55,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
69,PQC0113,VietJet Air,1.037.000 VND/khách,15:40,2025-05-06,16:40,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
70,PQC0136,VietJet Air,1.037.000 VND/khách,17:10,2025-05-06,18:15,2025-05-06,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
71,PQC0186,Vietnam Airlines,1.129.869 VND/khách,05:40,2025-05-06,06:40,2025-05-06,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
72,PQC0064,VietJet Air,1.146.000 VND/khách,11:30,2025-05-06,12:30,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
73,PQC0070,VietJet Air,1.146.000 VND/khách,11:35,2025-05-06,12:35,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
74,PQC0092,VietJet Air,1.146.000 VND/khách,14:05,2025-05-06,15:05,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
