id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
CXR0005,VietJet Air,1327929,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,16-04-2025
CXR0005,VietJet Air,1284780,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,17-04-2025
CXR0005,VietJet Air,1285778,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,18-04-2025
CXR0005,VietJet Air,1328670,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,19-04-2025
CXR0005,VietJet Air,1326675,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,20-04-2025
CXR0005,VietJet Air,1328670,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,21-04-2025
CXR0005,VietJet Air,1306725,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,22-04-2025
CXR0005,VietJet Air,1319693,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,23-04-2025
CXR0005,VietJet Air,1318695,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,24-04-2025
CXR0005,VietJet Air,1306725,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,25-04-2025
CXR0005,VietJet Air,1308720,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,26-04-2025
CXR0005,VietJet Air,1307723,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,27-04-2025
CXR0005,VietJet Air,1303733,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,28-04-2025
CXR0005,VietJet Air,1294755,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,29-04-2025
CXR0005,VietJet Air,1277798,12:40,03 thg 5,13:40,03 thg 5,1h 0m,CXR,0.0,7.0,30-04-2025
CXR0006,VietJet Air,1140143,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,01-05-2025
CXR0006,VietJet Air,1143135,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,02-05-2025
CXR0006,VietJet Air,1156103,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,03-05-2025
CXR0006,VietJet Air,1026428,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,14-04-2025
CXR0006,VietJet Air,1137150,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,15-04-2025
CXR0006,VietJet Air,1327929,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,16-04-2025
CXR0006,VietJet Air,1284780,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,17-04-2025
CXR0006,VietJet Air,1285778,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,18-04-2025
CXR0006,VietJet Air,1168073,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,22-04-2025
CXR0006,VietJet Air,1179045,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,23-04-2025
CXR0006,VietJet Air,1177050,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,24-04-2025
CXR0006,VietJet Air,1172063,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,25-04-2025
CXR0006,VietJet Air,1171065,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,26-04-2025
CXR0006,VietJet Air,1159095,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,27-04-2025
CXR0006,VietJet Air,1163085,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,28-04-2025
CXR0006,VietJet Air,1157100,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,29-04-2025
CXR0006,VietJet Air,1141140,12:40,04 thg 5,13:40,04 thg 5,1h 0m,CXR,0.0,7.0,30-04-2025
CXR0007,VietJet Air,1140143,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,01-05-2025
CXR0007,VietJet Air,1143135,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,02-05-2025
CXR0007,VietJet Air,1152113,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,03-05-2025
CXR0007,VietJet Air,1337648,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,04-05-2025
CXR0007,VietJet Air,1170068,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,15-04-2025
CXR0007,VietJet Air,1180561,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,16-04-2025
CXR0007,VietJet Air,1137150,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,17-04-2025
CXR0007,VietJet Air,1139145,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,18-04-2025
CXR0007,VietJet Air,1165080,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,19-04-2025
CXR0007,VietJet Air,1171065,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,20-04-2025
CXR0007,VietJet Air,1174058,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,21-04-2025
CXR0007,VietJet Air,1167075,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,22-04-2025
CXR0007,VietJet Air,1179045,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,23-04-2025
CXR0007,VietJet Air,1177050,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,24-04-2025
CXR0007,VietJet Air,1172063,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,25-04-2025
CXR0007,VietJet Air,1171065,12:40,05 thg 5,13:40,05 thg 5,1h 0m,CXR,0.0,7.0,26-04-2025
