brand,start_day,start_time,end_day,end_time,trip_time,price,crawl_date,days_left,id
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3703663,14-04-2025,16,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3709093,15-04-2025,15,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3618378,16-04-2025,14,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3698516,17-04-2025,13,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3703663,18-04-2025,12,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3703663,19-04-2025,11,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3703663,20-04-2025,10,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3703663,22-04-2025,8,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3618378,24-04-2025,6,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3696417,25-04-2025,5,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3615830,26-04-2025,4,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3695967,27-04-2025,3,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3859964,28-04-2025,2,HAN0741
Vietnam Airlines,30-04-2025,04:55:00,30-04-2025,07:05:00,2.17,3859869,29-04-2025,1,HAN0741
Vietnam Airlines,30-04-2025,06:00:00,30-04-2025,08:05:00,2.08,3868063,19-04-2025,11,HAN0763
Vietnam Airlines,30-04-2025,06:00:00,30-04-2025,08:05:00,2.08,3499130,24-04-2025,6,HAN0763
Vietnam Airlines,30-04-2025,06:00:00,30-04-2025,08:05:00,2.08,3860961,25-04-2025,5,HAN0763
Vietnam Airlines,30-04-2025,06:00:00,30-04-2025,08:05:00,2.08,3761100,28-04-2025,2,HAN0763
Vietnam Airlines,30-04-2025,06:00:00,30-04-2025,08:05:00,2.08,3859869,29-04-2025,1,HAN0763
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3703663,10-04-2025,20,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3707561,11-04-2025,19,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3703663,12-04-2025,18,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3868063,13-04-2025,17,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3872444,14-04-2025,16,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3873733,15-04-2025,15,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3777219,16-04-2025,14,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3863152,17-04-2025,13,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3868063,18-04-2025,12,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3868063,19-04-2025,11,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3868063,20-04-2025,10,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3618378,24-04-2025,6,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3859964,28-04-2025,2,HAN0795
Vietnam Airlines,30-04-2025,07:00:00,30-04-2025,09:05:00,2.08,3859869,29-04-2025,1,HAN0795
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3868063,10-04-2025,20,HAN0816
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3868063,11-04-2025,19,HAN0816
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3868063,12-04-2025,18,HAN0816
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3868063,13-04-2025,17,HAN0816
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3761100,28-04-2025,2,HAN0816
Vietnam Airlines,30-04-2025,08:00:00,30-04-2025,10:05:00,2.08,3859869,29-04-2025,1,HAN0816
Vietnam Airlines,30-04-2025,09:00:00,30-04-2025,11:05:00,2.08,3052161,24-04-2025,6,HAN0839
Vietnam Airlines,30-04-2025,09:00:00,30-04-2025,11:05:00,2.08,3287697,25-04-2025,5,HAN0839
Vietnam Airlines,30-04-2025,09:00:00,30-04-2025,11:05:00,2.08,3500308,26-04-2025,4,HAN0839
Vietnam Airlines,30-04-2025,09:00:00,30-04-2025,11:05:00,2.08,3499418,27-04-2025,3,HAN0839
Vietnam Airlines,30-04-2025,09:00:00,30-04-2025,11:05:00,2.08,3498942,28-04-2025,2,HAN0839
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3492504,10-04-2025,20,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3505726,11-04-2025,19,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3491505,12-04-2025,18,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3493503,13-04-2025,17,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3506007,14-04-2025,16,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3507173,15-04-2025,15,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3508433,16-04-2025,14,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3698516,17-04-2025,13,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3502039,18-04-2025,12,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3703663,19-04-2025,11,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3703663,20-04-2025,10,HAN0860
Vietnam Airlines,30-04-2025,10:00:00,30-04-2025,12:05:00,2.08,3703663,21-04-2025,9,HAN0860
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3055367,10-04-2025,20,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3058583,11-04-2025,19,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3055367,12-04-2025,18,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3055367,13-04-2025,17,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3058828,14-04-2025,16,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3059845,15-04-2025,15,HAN0863
Vietnam Airlines,30-04-2025,10:20:00,30-04-2025,12:20:00,2.0,3060944,16-04-2025,14,HAN0863
