id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0106,Vietnam Airlines,1600398,10,11,55,HAN,12.0,23.0,0,7
HAN0127,Vietnam Airlines,1600398,17,18,55,HAN,12.0,23.0,0,7
HAN0007,Bamboo Airways,754708,16,17,55,HAN,7.0,0.0,1,8
HAN0054,VietJet Air,1143135,9,10,55,HAN,7.0,0.0,1,8
HAN0128,Vietnam Airlines,1159839,17,18,55,HAN,12.0,23.0,1,8
HAN0055,VietJet Air,813960,9,10,55,HAN,7.0,0.0,1,9
HAN0156,Vietnam Airlines,993381,5,6,55,HAN,12.0,0.0,1,9
HAN0177,Vietnam Airlines,1157841,8,9,55,HAN,12.0,23.0,1,9
HAN0108,Vietnam Airlines,1157841,10,11,55,HAN,12.0,23.0,1,9
HAN0129,Vietnam Airlines,1179170,17,18,55,HAN,12.0,23.0,1,9
HAN0004,Bamboo Airways,869953,16,17,55,HAN,7.0,0.0,2,1
HAN0048,VietJet Air,854858,9,10,55,HAN,7.0,0.0,2,1
HAN0049,VietJet Air,817950,9,10,55,HAN,7.0,0.0,0,2
HAN0153,Vietnam Airlines,1179170,5,6,55,HAN,12.0,23.0,0,2
HAN0139,Vietnam Airlines,1179170,21,22,60,HAN,12.0,23.0,0,2
HAN0102,Vietnam Airlines,1979244,10,11,55,HAN,12.0,23.0,0,2
HAN0005,Bamboo Airways,754708,16,17,55,HAN,7.0,0.0,0,3
HAN0051,VietJet Air,817950,9,10,55,HAN,7.0,0.0,0,4
HAN0006,Bamboo Airways,754708,16,17,55,HAN,7.0,0.0,0,5
HAN0053,VietJet Air,1290765,9,10,55,HAN,7.0,0.0,0,6
HAN0007,Bamboo Airways,754708,16,17,55,HAN,7.0,0.0,1,7
HAN0054,VietJet Air,1152113,9,10,55,HAN,7.0,0.0,1,7
HAN0128,Vietnam Airlines,1168830,17,18,55,HAN,12.0,23.0,1,7
HAN0055,VietJet Air,817950,9,10,55,HAN,7.0,0.0,1,8
HAN0156,Vietnam Airlines,989010,5,6,55,HAN,12.0,0.0,1,8
HAN0177,Vietnam Airlines,1168830,8,9,55,HAN,12.0,23.0,1,8
HAN0108,Vietnam Airlines,1168830,10,11,55,HAN,12.0,23.0,1,8
HAN0129,Vietnam Airlines,1168830,17,18,55,HAN,12.0,23.0,1,8
HAN0049,VietJet Air,831915,9,10,55,HAN,7.0,0.0,0,1
HAN0153,Vietnam Airlines,1140858,5,6,55,HAN,12.0,23.0,0,1
